City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,jibia,13.0978,7.2225,34.7,34,41,2.88,NG,1690382021
281,kirakira,-10.4544,161.9205,26.16,89,100,4.64,SB,1690382022
282,sao joao do piaui,-8.3581,-42.2467,33.31,27,4,4.02,BR,1690382022
283,porto novo,6.4965,2.6036,27.9,68,71,4.71,BJ,1690382022
284,mugia,43.1041,-9.2179,29.95,78,7,6.39,ES,1690382022
285,borovskoy,53.8,64.15,22.53,63,53,0.75,KZ,1690382023
286,ghat,24.9647,10.1728,40.84,7,5,6.58,LY,1690382023
287,al ghayzah,16.2079,52.176,25.93,86,75,7.97,YE,1690382023
288,tura,25.5198,90.2201,24.42,94,100,2.39,IN,1690382023
289,mildura,-34.2,142.15,9.48,78,0,4.64,AU,1690382023
290,bodaybo,57.8506,114.1933,18.85,82,9,0.66,RU,1690382024
291,kalevala,65.2,31.1667,18.02,73,74,1.56,RU,1690382024
292,erbil,36.1926,44.0106,41.9,8,20,6.17,IQ,1690381929
293,san patricio,28.017,-97.5169,32.17,53,0,4.61,US,1690381858
294,rawson,-43.3002,-65.1023,5.06,61,48,6.63,AR,1690381910
295,chunskiy,56.0815,99.6342,15.56,96,76,1.42,RU,1690382025
296,vemalwada,18.4667,78.8833,26.53,86,100,5.28,IN,1690382025
297,novyy urengoy,66.0833,76.6333,22.91,66,99,2.27,RU,1690382025
298,ocher,57.8904,54.7202,20.08,69,68,2.07,RU,1690382025
299,belmonte,-15.8631,-38.8828,25.06,68,81,3.69,BR,1690382025
300,quang ngai,15.1167,108.8,26.13,89,100,1.86,VN,1690382026
301,rio gallegos,-51.6226,-69.2181,-4.97,86,0,6.17,AR,1690382026
302,north bend,43.4065,-124.2243,12.95,94,20,0.0,US,1690382026
303,cheremukhovo,60.3484,59.9851,18.75,80,33,2.65,RU,1690382026
304,hotan,37.0997,79.9269,31.84,22,29,1.84,CN,1690382027
305,guichon,-32.35,-57.2,12.82,88,100,6.42,UY,1690382027
306,nantucket,41.2835,-70.0995,27.03,77,16,6.45,US,1690382027
307,puerto deseado,-47.7503,-65.8938,2.17,74,7,8.21,AR,1690381900
308,nago,26.5881,127.9761,29.14,88,100,6.6,JP,1690382027
309,kununurra,-15.7667,128.7333,12.99,76,8,0.0,AU,1690382028
310,watsa,3.0372,29.5355,21.76,92,82,1.58,CD,1690382028
311,dolores,-36.3132,-57.6792,12.69,75,71,6.85,AR,1690382028
312,fukuecho,32.6881,128.8419,27.27,85,83,3.67,JP,1690382028
313,kudahuvadhoo,2.6708,72.8944,28.2,78,98,4.42,MV,1690382028
314,yanbu,24.0891,38.0637,41.02,22,0,9.26,SA,1690381993
315,callao,-12.0667,-77.15,20.95,77,100,2.06,PE,1690382029
316,akrehamn,59.2667,5.1833,17.22,77,75,5.66,NO,1690382029
317,tanumah,27.1,44.1333,42.94,5,21,4.67,SA,1690382029
318,churapcha,62.0025,132.4325,14.73,84,88,2.62,RU,1690382029
319,bandarbeyla,9.4942,50.8122,24.39,80,9,15.06,SO,1690382029
320,launceston,-41.45,147.1667,9.53,88,100,3.6,AU,1690381810
321,batamshinskiy,50.5594,58.2747,25.87,38,87,2.37,KZ,1690382030
322,chililabombwe,-12.3648,27.8229,25.09,24,6,3.1,ZM,1690382030
323,lukolela,-1.0605,17.1821,32.38,38,20,1.34,CD,1690382030
324,sarykemer,43.0,71.5,38.71,13,4,4.61,KZ,1690382030
325,llandudno,53.325,-3.8315,18.26,47,100,4.02,GB,1690382031
326,kyshtovka,56.555,76.6271,19.92,69,61,1.79,RU,1690382031
327,cravinhos,-21.3403,-47.7294,24.4,26,4,2.18,BR,1690382031
328,gilgit,35.9221,74.3087,32.26,41,85,1.62,PK,1690382032
